[ms-wbt-server] partner-monitoring.paypal.com:3389
[ncd-conf] partner-monitoring.paypal.com:5999
[ndmps] partner-monitoring.paypal.com:30000
[opsmessaging] partner-monitoring.paypal.com:8090
[pop3] partner-monitoring.paypal.com:110
[pop3s] partner-monitoring.paypal.com:995
[postgresql] partner-monitoring.paypal.com:5432
[radan-http] cloudmonitor10.paypal.com:8088
[radan-http] cloudmonitor11.paypal.com:8088
[radan-http] cloudmonitor12.paypal.com:8088
[radan-http] cloudmonitor13.paypal.com:8088
[radan-http] cloudmonitor14.paypal.com:8088
[radan-http] cloudmonitor15.paypal.com:8088
[radan-http] cloudmonitor16.paypal.com:8088
[radan-http] cloudmonitor17.paypal.com:8088
[radan-http] cloudmonitor18.paypal.com:8088
[radan-http] cloudmonitor19.paypal.com:8088
[radan-http] cloudmonitor1.paypal.com:8088
[radan-http] cloudmonitor20.paypal.com:8088
[radan-http] cloudmonitor21.paypal.com:8088
[radan-http] cloudmonitor2.paypal.com:8088
[radan-http] cloudmonitor3.paypal.com:8088
[radan-http] partner-monitoring.paypal.com:8088
[redis] partner-monitoring.paypal.com:6379
[rtmp] partner-monitoring.paypal.com:1935
[sip-tls] sip.paypal.com:5061
[smtp] partner-monitoring.paypal.com:25
[smtps] partner-monitoring.paypal.com:465
[ssh] accounts.paypal.com:22
[ssh] accounts.sandbox.paypal.com:22
[ssh] batch.paypal.com:22
[ssh] batch.sandbox.paypal.com:22
[ssh] disputes.paypal.com:22
[ssh] disputes.sandbox.paypal.com:22
[ssh] dropzone.glb.paypal.com:22
[ssh] dropzone.paypal.com:22
[ssh] reports.glb.paypal.com:22
[ssh] reports.paypal.com:22
[ssh] reports.sandbox.paypal.com:22
[submission] partner-monitoring.paypal.com:587
[su-mit-tg] partner-monitoring.paypal.com:89
[unknown] partner-monitoring.paypal.com:8085
[unknown] partner-monitoring.paypal.com:8089
[unknown] partner-monitoring.paypal.com:8099
[vnc-1] partner-monitoring.paypal.com:5901
[vnc] partner-monitoring.paypal.com:5900
[vrace] partner-monitoring.paypal.com:9300
[wap-wsp] partner-monitoring.paypal.com:9200
[webobjects] partner-monitoring.paypal.com:1085
[whois] partner-monitoring.paypal.com:43
[xmpp-client] partner-monitoring.paypal.com:5222
