[https] ser.paddypower.com:443
[https] shl.paddypower.com:443
[https] sib.lb.paddypower.com:443
[https] sib.paddypower.com:443
[https] smp.lb.paddypower.com:443
[https] smp.paddypower.com:443
[https] smsiospp.lb.paddypower.com:443
[https] spb.lb.paddypower.com:443
[https] spb.paddypower.com:443
[https] splash.paddypower.com:443
[https] sportsbook-api.paddypower.com:443
[https] sportsgaming.paddypower.com:443
[https] ssc.lb.paddypower.com:443
[https] ssc.paddypower.com:443
[https] strands.lb.paddypower.com:443
[https] strands.paddypower.com:443
[https] support.paddypower.com:443
[https] t.mails.paddypower.com:443
[http] strands.lb.paddypower.com:80
[http] strands.paddypower.com:80
[https] upload.paddypower.com:443
[http] support.paddypower.com:80
[https] usp.paddypower.com:443
[https] vegas.paddypower.com:443
[https] vqa.lb.paddypower.com:443
[https] vqa.paddypower.com:443
[https] vra.paddypower.com:443
[https] was.lb.paddypower.com:443
[https] was.paddypower.com:443
[https] web.emails.paddypower.com:443
[https] wmspp.lb.paddypower.com:443
[https] ws.lb.paddypower.com:443
[https] ws.paddypower.com:443
[https] www.paddypower.com:443
[http] t.mails.paddypower.com:80
[http] upload.paddypower.com:80
[http] usp.paddypower.com:80
[http] vegas.paddypower.com:80
[http] vqa.lb.paddypower.com:80
[http] vqa.paddypower.com:80
[http] vra.paddypower.com:80
[http] was.lb.paddypower.com:80
[http] was.paddypower.com:80
[http] web.emails.paddypower.com:80
[http] wmspp.lb.paddypower.com:80
[http] ws.lb.paddypower.com:80
[http] ws.paddypower.com:80
[http] www.paddypower.com:80
[infowave] fantasy.paddypower.com:2082
[infowave] osg.paddypower.com:2082
[infowave] paddypower.com:2082
[isakmp] arkle.ext.paddypower.com:500
[nbx-ser] osg.paddypower.com:2095
[radsec] blog.paddypower.com:2083
[radsec] fantasy.paddypower.com:2083
[radsec] news.paddypower.com:2083
[radsec] osg.paddypower.com:2083
[radsec] paddypower.com:2083
[smtp] mails.paddypower.com:25
