[http] friend-list-view.gr.e1-np.communication.playstation.net:80
[http] friend-list-view.gr.np.communication.playstation.net:80
[http] friend-list-view.gt.e1-np.communication.playstation.net:80
[http] friend-list-view.gt.np.communication.playstation.net:80
[http] friend-list-view.hk.e1-np.communication.playstation.net:80
[http] friend-list-view.hk.np.communication.playstation.net:80
[http] friend-list-view.hn.e1-np.communication.playstation.net:80
[http] friend-list-view.hn.np.communication.playstation.net:80
[http] friend-list-view.hr.e1-np.communication.playstation.net:80
[http] friend-list-view.hr.np.communication.playstation.net:80
[http] friend-list-view.hu.e1-np.communication.playstation.net:80
[http] friend-list-view.hu.np.communication.playstation.net:80
[http] friend-list-view.id.e1-np.communication.playstation.net:80
[http] friend-list-view.id.np.communication.playstation.net:80
[http] friend-list-view.ie.e1-np.communication.playstation.net:80
[http] friend-list-view.ie.np.communication.playstation.net:80
[http] friend-list-view.il.e1-np.communication.playstation.net:80
[http] friend-list-view.il.np.communication.playstation.net:80
[http] friend-list-view.in.e1-np.communication.playstation.net:80
[http] friend-list-view.in.np.communication.playstation.net:80
[http] friend-list-view.is.e1-np.communication.playstation.net:80
[http] friend-list-view.is.np.communication.playstation.net:80
[http] friend-list-view.it.e1-np.communication.playstation.net:80
[http] friend-list-view.it.np.communication.playstation.net:80
[http] friend-list-view.jp.e1-np.communication.playstation.net:80
[http] friend-list-view.jp.np.communication.playstation.net:80
[http] friend-list-view.kr.e1-np.communication.playstation.net:80
[http] friend-list-view.kr.np.communication.playstation.net:80
[http] friend-list-view.kw.e1-np.communication.playstation.net:80
[http] friend-list-view.kw.np.communication.playstation.net:80
[http] friend-list-view.lb.e1-np.communication.playstation.net:80
[http] friend-list-view.lb.np.communication.playstation.net:80
[http] friend-list-view.lu.e1-np.communication.playstation.net:80
[http] friend-list-view.lu.np.communication.playstation.net:80
[http] friend-list-view.mt.e1-np.communication.playstation.net:80
[http] friend-list-view.mt.np.communication.playstation.net:80
[http] friend-list-view.mx.e1-np.communication.playstation.net:80
[http] friend-list-view.mx.np.communication.playstation.net:80
[http] friend-list-view.my.e1-np.communication.playstation.net:80
[http] friend-list-view.my.np.communication.playstation.net:80
[http] friend-list-view.ni.e1-np.communication.playstation.net:80
[http] friend-list-view.ni.np.communication.playstation.net:80
[http] friend-list-view.nl.e1-np.communication.playstation.net:80
[http] friend-list-view.nl.np.communication.playstation.net:80
[http] friend-list-view.no.e1-np.communication.playstation.net:80
[http] friend-list-view.no.np.communication.playstation.net:80
[http] friend-list-view.nz.e1-np.communication.playstation.net:80
[http] friend-list-view.nz.np.communication.playstation.net:80
[http] friend-list-view.om.e1-np.communication.playstation.net:80
[http] friend-list-view.om.np.communication.playstation.net:80
[http] friend-list-view.pa.e1-np.communication.playstation.net:80
[http] friend-list-view.pa.np.communication.playstation.net:80
[http] friend-list-view.pe.e1-np.communication.playstation.net:80
[http] friend-list-view.pe.np.communication.playstation.net:80
[http] friend-list-view.pl.e1-np.communication.playstation.net:80
[http] friend-list-view.pl.np.communication.playstation.net:80
[http] friend-list-view.pt.e1-np.communication.playstation.net:80
[http] friend-list-view.pt.np.communication.playstation.net:80
[http] friend-list-view.py.e1-np.communication.playstation.net:80
[http] friend-list-view.py.np.communication.playstation.net:80
[http] friend-list-view.qa.e1-np.communication.playstation.net:80
[http] friend-list-view.ro.e1-np.communication.playstation.net:80
[http] friend-list-view.ro.np.communication.playstation.net:80
[http] friend-list-view.ru.e1-np.communication.playstation.net:80
[http] friend-list-view.ru.np.communication.playstation.net:80
[http] friend-list-view.sa.e1-np.communication.playstation.net:80
[http] friend-list-view.sa.np.communication.playstation.net:80
[http] friend-list-view.se.e1-np.communication.playstation.net:80
[http] friend-list-view.sg.e1-np.communication.playstation.net:80
[http] friend-list-view.sg.np.communication.playstation.net:80
[http] friend-list-view.si.e1-np.communication.playstation.net:80
[http] friend-list-view.si.np.communication.playstation.net:80
[http] friend-list-view.sk.e1-np.communication.playstation.net:80
[http] friend-list-view.sk.np.communication.playstation.net:80
[http] friend-list-view.sv.e1-np.communication.playstation.net:80
[http] friend-list-view.sv.np.communication.playstation.net:80
[http] friend-list-view.th.e1-np.communication.playstation.net:80
[http] friend-list-view.th.np.communication.playstation.net:80
[http] friend-list-view.tr.e1-np.communication.playstation.net:80
[http] friend-list-view.tr.np.communication.playstation.net:80
[http] friend-list-view.tw.e1-np.communication.playstation.net:80
[http] friend-list-view.tw.np.communication.playstation.net:80
[http] friend-list-view.ua.e1-np.communication.playstation.net:80
[http] friend-list-view.ua.np.communication.playstation.net:80
[http] friend-list-view.us.e1-np.communication.playstation.net:80
[http] friend-list-view.us.np.communication.playstation.net:80
[http] friend-list-view.uy.e1-np.communication.playstation.net:80
[http] friend-list-view.uy.np.communication.playstation.net:80
[http] friend-list-view.ww.e1-np.communication.playstation.net:80
[http] friend-list-view.ww.np.communication.playstation.net:80
[http] friend-list-view.za.e1-np.communication.playstation.net:80
[http] friend-list-view.za.np.communication.playstation.net:80
[http] fru01.ps3.update.playstation.net:80
[http] fru01.ps4.update.playstation.net:80
[http] fru01.psp2.update.playstation.net:80
[http] fsa01.ps3.update.playstation.net:80
[http] fsa01.ps4.update.playstation.net:80
[http] fsa01.psp2.update.playstation.net:80
[http] fshop01.ps3.update.playstation.net:80
[http] fswitch.dl.playstation.net:80
[http] ftw01.ps3.update.playstation.net:80
[http] ftw01.ps4.update.playstation.net:80
[http] ftw01.psp2.update.playstation.net:80
[http] fuk01.ps3.update.playstation.net:80
[http] fuk01.ps4.update.playstation.net:80
[http] fuk01.psp2.update.playstation.net:80
[http] fus01.ps3.update.playstation.net:80
[http] fus01.ps4.update.playstation.net:80
[http] fus01.psp2.update.playstation.net:80
[http] galactica2.api.tools.playstation.net:80
[http] gb-evnt-edge.np.community.playstation.net:80
[http] gb-gmsg.np.community.playstation.net:80
[http] gb-ivt.np.community.playstation.net:80
[http] gb-ntl.np.community.playstation.net:80
[http] gb-prof.np.community.playstation.net:80
[http] geotest.auth.np.ac.playstation.net:80
[http] get.net.playstation.net:80
[http] getprof.ae.np.community.playstation.net:80
[http] getprof.ar.np.community.playstation.net:80
[http] getprof.at.np.community.playstation.net:80
[http] getprof.au.np.community.playstation.net:80
[http] getprof.be.np.community.playstation.net:80
[http] getprof.bg.np.community.playstation.net:80
[http] getprof.br.np.community.playstation.net:80
[http] getprof.ca.np.community.playstation.net:80
[http] getprof.ch.np.community.playstation.net:80
[http] getprof.cl.np.community.playstation.net:80
[http] getprof.cn.np.community.playstation.net:80
[http] getprof.co.np.community.playstation.net:80
[http] getprof.cr.np.community.playstation.net:80
[http] getprof.cz.np.community.playstation.net:80
[http] getprof.de.np.community.playstation.net:80
[http] getprof.dk.np.community.playstation.net:80
[http] getprof.ec.np.community.playstation.net:80
[http] getprof.es.np.community.playstation.net:80
[http] getprof.fi.np.community.playstation.net:80
[http] getprof.fr.np.community.playstation.net:80
[http] getprof.gb.np.community.playstation.net:80
[http] getprof.gr.np.community.playstation.net:80
[http] getprof.gt.np.community.playstation.net:80
[http] getprof.hk.np.community.playstation.net:80
[http] getprof.hn.np.community.playstation.net:80
[http] getprof.hr.np.community.playstation.net:80
[http] getprof.id.np.community.playstation.net:80
[http] getprof.ie.np.community.playstation.net:80
[http] getprof.il.np.community.playstation.net:80
[http] getprof.in.np.community.playstation.net:80
[http] getprof.it.np.community.playstation.net:80
[http] getprof.jp.np.community.playstation.net:80
[http] getprof.kw.np.community.playstation.net:80
[http] getprof.mx.np.community.playstation.net:80
[http] getprof.my.np.community.playstation.net:80
[http] getprof.nl.np.community.playstation.net:80
[http] getprof.no.np.community.playstation.net:80
[http] getprof.nz.np.community.playstation.net:80
[http] getprof.pa.np.community.playstation.net:80
[http] getprof.pe.np.community.playstation.net:80
[http] getprof.pl.np.community.playstation.net:80
[http] getprof.pt.np.community.playstation.net:80
[http] getprof.py.np.community.playstation.net:80
[http] getprof.qa.np.community.playstation.net:80
[http] getprof.ro.np.community.playstation.net:80
[http] getprof.ru.np.community.playstation.net:80
[http] getprof.sa.np.community.playstation.net:80
[http] getprof.sa.sp-int.community.playstation.net:80
[http] getprof.se.np.community.playstation.net:80
[http] getprof.sg.np.community.playstation.net:80
[http] getprof.sv.np.community.playstation.net:80
[http] getprof.tr.np.community.playstation.net:80
[http] getprof.tw.np.community.playstation.net:80
[http] getprof.us.np.community.playstation.net:80
[http] getprof.uy.np.community.playstation.net:80
[http] getprof.za.np.community.playstation.net:80
[http] gs2-sec.ww.e1.dl.playstation.net:80
[http] gs2-sec.ww.prod.dl.playstation.net:80
[http] gs2.ww.prod.dl.playstation.net:80
[http] gs-sec.ww.np.dl.playstation.net:80
[http] gs-sec.ww.sp-int.dl.playstation.net:80
[http] gst.prod.dl.playstation.net:80
[http] gs.ww.np.dl.playstation.net:80
[http] hakoniwa.dl.playstation.net:80
[http] hau01.ps4.update.playstation.net:80
[http] hcn01.ps4.update.playstation.net:80
[http] help-system-tools.kodama.e1-np.tools.playstation.net:80
[http] help-system.tools.partners.playstation.net:80
[http] heu01.ps4.update.playstation.net:80
[http] hfs.dl.playstation.net:80
[http] hjp01.ps4.update.playstation.net:80
[http] hk-gmsg.np.community.playstation.net:80
[http] hkr01.ps4.update.playstation.net:80
[http] hmx01.ps4.update.playstation.net:80
[http] homer.dl.playstation.net:80
[http] hru01.ps4.update.playstation.net:80
[http] hsa01.ps4.update.playstation.net:80
[http] htw01.ps4.update.playstation.net:80
[http] huk01.ps4.update.playstation.net:80
[http] hus01.ps4.update.playstation.net:80
[http] image.api.e1-np.km.playstation.net:80
[http] image.api.np.km.playstation.net:80
[http] infoboard.ww.dl.playstation.net:80
[http] infoboard.xx.dl.playstation.net:80
[http] ingester.e1.tools.playstation.net:80
[http] ingester.mgmt.tools.playstation.net:80
[http] ingester.q1.tools.playstation.net:80
[http] in-gmsgp.np.community.playstation.net:80
[http] iv0001-npxs01001-00.auth.np.ac.playstation.net:80
[http] ivt.np.community.playstation.net:80
[http] kairos-3.dev.dl.playstation.net:80
[http] kairos-73.dl.playstation.net:80
